Stations;1;2;3;4;5;6;7;8;9;10;11;12;13;14
Abbesses;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Alésia;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alexandre Dumas;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Alma – Marceau;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Anatole France;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Anvers;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Argentine;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Arts et Métiers;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Asnières – Gennevilliers – Les Courtilles;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Assemblée Nationale;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Aubervilliers – Pantin – Quatre Chemins;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Avenue Émile Zola;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Avron;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Bagneux;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Balard;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Barbès – Rochechouart;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Basilique de Saint-Denis;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Bastille;1;0;0;0;1;0;0;1;0;0;0;0;0;0
Bel-Air;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Belleville;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Bérault;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Bercy;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Bibliothèque François Mitterrand;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Billancourt;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bir-Hakeim;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Blanche;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Bobigny – Pablo Picasso;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Boissière;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bolivar;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bonne Nouvelle;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Botzaris;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Boulogne – Jean Jaurès;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Boulogne – Pont de Saint-Cloud;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Boucicaut;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bourse;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bréguet – Sabin;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Brochant;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Buttes Chaumont;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Buzenval;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Cadet;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Cambronne;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Campo Formio;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Cardinal Lemoine;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Carrefour Pleyel;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Censier – Daubenton;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Champs-Élysées – Clemenceau;1;0;0;0;0;0;0;0;0;0;0;0;1;0
